club_id,club_name
3820,Mansfield Town
25659,Chukyo High School
14,Austria Vienna
24574,Gretna FC 2008
1211,Port Vale FC
1252,York City
1286,Club Atlético Newell's Old Boys
2464,FC Barcelona B
2891,SuperSport United
3055,Basingstoke Town
218,San Jose Earthquakes
47,Iraklis Thessaloniki
3694,AFC Telford United
1112,Wrexham AFC
2156,AEK Larnaca
354,KV Mechelen
24530,Neath FC
6898,Norwich City U18
33324,Vejle Boldklub Kolding
7968,Racing Strasbourg B
16277,Bury FC U18
3234,Tombense Futebol Clube (MG)
12805,Queens Park Rangers U18
4103,AC Lumezzane
3867,Boreham Wood FC
3717,Aldershot Town
34813,North Greenford United FC
10717,Histon FC
6043,Anagennisi Derynias
3537,Crawley Town
8820,Hampton & Richmond Borough
114,Besiktas JK
29990,West Bromwich Albion Reserves
6951,West Bromwich Albion U18
20,Bursaspor
449,Trabzonspor
697,FC Slovan Liberec
13414,Rákospalotai EAC
825,Eskisehirspor
7055,Tigres UANL
8152,RC Lens B
38632,Ashington AFC
1184,KRC Genk
2700,Anzhi Makhachkala
1321,SK Dynamo Ceske Budejovice
6683,Canvey Island FC
4720,Deportivo Saprissa
9249,Arsenal FC Reserves
585,São Paulo Futebol Clube
35348,Newcastle Town FC
19231,HBS Craeyenhout
8908,Carshalton Athletic
6503,Chunnam Dragons
920,Derry City
3884,AFC Wimbledon
2150,Al-Ain FC
669,FK Partizan Belgrade
7074,Politehnica Timisoara
339,Dnipro Dnipropetrovsk
15889,Gold Coast United
8054,Sydney FC
9829,Southport FC
11008,Juventus Primavera
9254,Tottenham Hotspur Reserves
9252,Liverpool FC Reserves
210,Grêmio Foot-Ball Porto Alegrense
11831,Club Atlético Tigre
43,Heart of Midlothian FC
1251,Cliftonville FC
988,Oxford United
1102,Vaasan Palloseura
8164,Standard Liège U19
3183,Shanghai Shenhua Liansheng
1464,Borussia Dortmund U19
623,New York Red Bulls
11259,CD Alcoyano
3721,Alfreton Town
3258,Shamrock Rovers
6418,Panetolikos GFS
1011,Halmstads BK
11422,CE Sabadell
33616,Swansea City U21
12566,Carmarthen Town AFC
11177,Fleetwood Town
1037,Club Universidad de Chile
1444,Racing Club
157,KAA Gent
6676,Asteras Tripolis
8817,Ajax Amsterdam U21
786,AEL Limassol
4074,Dartford FC
3892,FC Eindhoven
25580,Melbourne Heart FC
465,St. Mirren FC
4310,Blyth Spartans
679,Atlético Paranaense
4032,SD Ponferradina
2292,Elazigspor
3552,BFC Siófok
18075,Club Deportivo Maldonado
4080,Workington AFC
