"club_id","season","Y_margin_sum","n_sales_Y","spend_sum","n_buys","n_sales_tot","n_costzero","costzero_share","betweenness","out_degree","in_degree"
430,2014,18850000,3,7600000,3,4,0,0,50.8364728414574,3,1
430,2015,-3800000,7,20900000,7,7,1,0.142857142857143,101.320770329888,5,2
430,2016,-19850000,7,11900000,5,9,2,0.222222222222222,258.599410475146,5,2
430,2017,4e+07,7,77400000,16,8,1,0.125,326.483448493342,4,7
430,2018,1460000,6,53900000,11,6,1,0.166666666666667,195.414223435663,5,3
430,2019,-5580000,4,46400000,6,4,0,0,19.7655233655234,1,3
430,2020,-14100000,4,48500000,6,4,0,0,25.8837116100274,3,2
430,2021,-7300000,6,2.9e+07,3,6,1,0.166666666666667,126.046836496837,4,1
458,2009,0,0,16600000,5,3,3,1,14.3166666666667,2,1
458,2010,5575000,4,32781000,14,5,4,0.8,80.1700150726466,3,2
458,2011,49100000,8,45780000,16,14,6,0.428571428571429,533.223155413558,9,6
458,2012,-2345000,5,22550000,9,9,3,0.333333333333333,161.805739315724,6,2
458,2014,13100000,3,19700000,9,3,3,1,40.0723463627875,2,1
458,2015,-33700000,5,12250000,9,5,0,0,165.853626003626,4,3
458,2016,12850000,6,8180000,6,6,0,0,128.899227891991,4,2
467,2009,0,0,2270000,2,1,1,1,0,0,0
467,2010,150000,1,0,0,1,1,1,0,0,0
467,2011,-1770000,1,0,0,3,0,0,7.27616959064327,2,0
467,2012,-3250000,1,3e+05,1,2,0,0,0,0,0
467,2013,-75000,1,8e+05,3,1,0,0,0,0,0
467,2015,-3050000,2,450000,2,2,0,0,24.0781781943547,1,1
467,2016,3e+05,1,975000,4,1,1,1,0,0,1
468,2009,0,0,50000,1,0,0,0,0,0,0
468,2017,-13750000,2,0,0,2,2,1,17.5464285714286,2,0
468,2019,-1625000,2,0,0,2,1,0.5,0,0,0
468,2020,-1e+05,2,1e+05,1,2,0,0,0,1,0
468,2021,5925000,2,0,0,2,0,0,62.2603174603175,2,0
472,2015,0,0,6400000,3,0,0,0,0,0,1
472,2016,0,0,2400000,2,0,0,0,0,0,0
472,2017,1.9e+07,2,350000,1,2,1,0.5,6.98383838383838,1,1
499,2009,2300000,1,0,0,2,2,1,179.617676767677,2,0
